Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;;;;;;
10:00-11:00;;;;;;
11:00-12:00;;;;CSE 471;;
12:00-13:00;;CSE 476;;CSE 471;;
13:00-14:00;;;;;;
14:00-15:00;;;;;CSE 476;
15:00-16:00;;;;;CSE 476;
16:00-17:00;;;;;;
17:00-18:00;;CSE 471;;;;
18:00-19:00;;;;;;
