Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;MATH241.1,5;;;TKL202.32;CSE 232.L;
10:00-11:00;MATH241.1,5;;;TKL202.32;CSE 232.L;
11:00-12:00;CSE 232;;MATH241.1,5;;;
12:00-13:00;;;;;;
13:00-14:00;;;;;;
14:00-15:00;;ES231.1,5;;;;
15:00-16:00;;ES231.1,5;;;;
16:00-17:00;TKL202.5;MATH241.1,5;CSE 232;ES231.1,5;EXAM
;
17:00-18:00;TKL202.5;MATH241.1,5;CSE 232;ES231.1,5;EXAM
;
18:00-19:00;;;;;;
