Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;PHYS102.3 + AFE158.2;MATH152.7;PHYS102.6 + AFE158.8;MATH152.10;MATH154.1
;
10:00-11:00;PHYS102.3 + AFE158.2;MATH152.7;PHYS102.6 + AFE158.8;MATH152.10;MATH154.1
;
11:00-12:00;AFE158.8;MATH152.10;PHYS102.3 + AFE158.2;MATH152.7;MATH154.2
;
12:00-13:00;AFE158.8;MATH152.10;PHYS102.3 + AFE158.2;MATH152.7;MATH154.2
;
13:00-14:00;;CSE 114.L;;CSE 114;;
14:00-15:00;PHYS102.3,6;CSE 114.L;MATH154.1;;CSE 114;
15:00-16:00;PHYS102.3,6;CSE 114.L;MATH154.1;;CSE 114;
16:00-17:00;MATH152.10;;MATH152.7 + MATH154.2;PHYS102.6;EXAM
;
17:00-18:00;MATH152.10;;MATH152.7 + MATH154.2;PHYS102.6;EXAM
;
18:00-19:00;;;;;;
