Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;CSE 331.L;;ES272.3;;ES272.2
;
10:00-11:00;CSE 331.L;;ES272.3;;ES272.2
;
11:00-12:00;;;ES272.2;;ES272.3
;
12:00-13:00;;;ES272.2;;ES272.3
;
13:00-14:00;;CSE 331;;;;
14:00-15:00;;;;CSE 331.L;HTR302.24
;
15:00-16:00;;;;CSE 331.L;HTR302.24
;
16:00-17:00;CSE 331;;CSE 343;;CSE 343.L;
17:00-18:00;CSE 331;;CSE 343;;CSE 343.L;
18:00-19:00;;;;;;
