Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;;ES224.1;;;;
10:00-11:00;;ES224.1;;;;
11:00-12:00;;ES224.2;;CSE 323;HTR301.2;
12:00-13:00;CSE 323;ES224.2;;;HTR301.2;
13:00-14:00;CSE 323;;;;CSE 351.L;
14:00-15:00;CSE 311;ES224.2;CSE 351;;;
15:00-16:00;CSE 311;ES224.2;CSE 351;;;
16:00-17:00;;ES224.1;;;;
17:00-18:00;;ES224.1;;;;
18:00-19:00;;;;;;
