Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;ECON294.1;ECON294.3;;CSE 462;;
10:00-11:00;ECON294.1;ECON294.3;;CSE 462;;
11:00-12:00;CSE 487;ECON294.1;CSE 416;CSE 471;;
12:00-13:00;CSE 487;CSE 476;CSE 416;CSE 471;CSE 416;
13:00-14:00;ECON294.3;;;;CSE 462;
14:00-15:00;CSE 471.L;CSE 427;CSE 421;;CSE 476;
15:00-16:00;CSE 471.L;CSE 427;CSE 421;;CSE 476;
16:00-17:00;CSE 427;CSE 487;;CSE 421.L;CSE 471.L;
17:00-18:00;;CSE 471;;CSE 421.L;CSE 471.L;
18:00-19:00;;;;;;
