Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;;;;CSE 462;;
10:00-11:00;;;;CSE 462;;
11:00-12:00;CSE 487;ES301.1;CSE 416;;;
12:00-13:00;CSE 487;ES301.1 + CSE 476;CSE 416;;CSE 416;
13:00-14:00;;ES301.5;ES301.1;;CSE 462;
14:00-15:00;;CSE 427;;ES301.5;CSE 476;
15:00-16:00;;CSE 427;;ES301.5;CSE 476;
16:00-17:00;CSE 427;CSE 487;;;;
17:00-18:00;;;;;;
18:00-19:00;;;;;;
