Time;Monday;Tuesday;Wednesday;Tuesday;Friday
09:00-10:00;;MATH221.11;;MATH221.8;;
10:00-11:00;;MATH221.11;;MATH221.8;;
11:00-12:00;;MATH221.8;;MATH221.11;CSE 211.L;
12:00-13:00;CSE 211;MATH221.8;CSE 211;MATH221.11;CSE 211.L;
13:00-14:00;HUM103-S;CSE 221;CSE 211;;CSE 211.L;
14:00-15:00;;;;CSE 221.L;CSE 221;
15:00-16:00;HUM103-S;;;CSE 221.L;CSE 221;
16:00-17:00;;TKL201;;;EXAM;
17:00-18:00;;TKL201;;;EXAM;
18:00-19:00;;;;;;
